08:14:30:074 ?   
08:14:30:823 ?   

13.05.2019 08:14:30:825 ToPeron_1>> 402102025355010005054b4f50554b01000568fa *** 08:14:31:572 FromPeron_1<< 402102fa  

22.05.2019 16:06:36:906 ToPeron_1>> 4020fa *** 16:06:37:550 FromPeron_1<< 40700373fa  

22.05.2019 16:06:37:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:37:656 ToPeron_2>> 4120fa *** 16:06:38:300 FromPeron_2<< 41700070fa  

22.05.2019 16:06:38:396 ToPeron_1>> 4020fa *** 16:06:39:050 FromPeron_1<< 40700373fa  

22.05.2019 16:06:39:145 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:39:146 ToPeron_2>> 4120fa *** 16:06:39:799 FromPeron_2<< 41700070fa  

22.05.2019 16:06:39:904 ToPeron_1>> 4020fa *** 16:06:40:549 FromPeron_1<< 40700373fa  

22.05.2019 16:06:40:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:40:655 ToPeron_2>> 4120fa *** 16:06:41:299 FromPeron_2<< 41700070fa  

22.05.2019 16:06:41:415 ToPeron_1>> 4020fa *** 16:06:42:049 FromPeron_1<< 40700373fa  

22.05.2019 16:06:42:144 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:42:145 ToPeron_2>> 4120fa *** 16:06:42:800 FromPeron_2<< 41700070fa  

22.05.2019 16:06:42:906 ToPeron_1>> 4020fa *** 16:06:43:549 FromPeron_1<< 40700373fa  

22.05.2019 16:06:43:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:43:656 ToPeron_2>> 4120fa *** 16:06:44:299 FromPeron_2<< 41700070fa  

22.05.2019 16:06:44:404 ToPeron_1>> 4020fa *** 16:06:45:049 FromPeron_1<< 40700373fa  

22.05.2019 16:06:45:160 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:45:161 ToPeron_2>> 4120fa *** 16:06:45:800 FromPeron_2<< 41700070fa  

22.05.2019 16:06:45:904 ToPeron_1>> 4020fa *** 16:06:46:549 FromPeron_1<< 40700373fa  

22.05.2019 16:06:46:656 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:46:657 ToPeron_2>> 4120fa *** 16:06:47:300 FromPeron_2<< 41700070fa  

22.05.2019 16:06:47:405 ToPeron_1>> 4020fa *** 16:06:48:049 FromPeron_1<< 40700373fa  

22.05.2019 16:06:48:144 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:48:145 ToPeron_2>> 4120fa *** 16:06:48:799 FromPeron_2<< 41700070fa  

22.05.2019 16:06:48:904 ToPeron_1>> 4020fa *** 16:06:49:549 FromPeron_1<< 40700373fa  

22.05.2019 16:06:49:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:49:655 ToPeron_2>> 4120fa *** 16:06:50:300 FromPeron_2<< 41700070fa  

22.05.2019 16:06:50:410 ToPeron_1>> 4020fa *** 16:06:51:050 FromPeron_1<< 40700373fa  

22.05.2019 16:06:51:154 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:51:155 ToPeron_2>> 4120fa *** 16:06:51:800 FromPeron_2<< 41700070fa  

22.05.2019 16:06:51:905 ToPeron_1>> 4020fa *** 16:06:52:550 FromPeron_1<< 40700373fa  

22.05.2019 16:06:52:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:52:656 ToPeron_2>> 4120fa *** 16:06:53:300 FromPeron_2<< 41700070fa  

22.05.2019 16:06:53:391 ToPeron_1>> 4020fa *** 16:06:54:049 FromPeron_1<< 40700373fa  

22.05.2019 16:06:54:154 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:54:156 ToPeron_2>> 4120fa *** 16:06:54:799 FromPeron_2<< 41700070fa  

22.05.2019 16:06:54:905 ToPeron_1>> 4020fa *** 16:06:55:549 FromPeron_1<< 40700373fa  

22.05.2019 16:06:55:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:55:656 ToPeron_2>> 4120fa *** 16:06:56:299 FromPeron_2<< 41700070fa  

22.05.2019 16:06:56:392 ToPeron_1>> 4020fa *** 16:06:57:050 FromPeron_1<< 40700373fa  

22.05.2019 16:06:57:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:57:156 ToPeron_2>> 4120fa *** 16:06:57:799 FromPeron_2<< 41700070fa  

22.05.2019 16:06:57:904 ToPeron_1>> 4020fa *** 16:06:58:549 FromPeron_1<< 40700373fa  

22.05.2019 16:06:58:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:06:58:656 ToPeron_2>> 4120fa *** 16:06:59:299 FromPeron_2<< 41700070fa  

22.05.2019 16:06:59:391 ToPeron_1>> 4020fa *** 16:07:00:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:00:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:00:156 ToPeron_2>> 4120fa *** 16:07:00:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:00:904 ToPeron_1>> 4020fa *** 16:07:01:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:01:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:01:656 ToPeron_2>> 4120fa *** 16:07:02:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:02:406 ToPeron_1>> 4020fa *** 16:07:03:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:03:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:03:156 ToPeron_2>> 4120fa *** 16:07:03:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:03:906 ToPeron_1>> 4020fa *** 16:07:04:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:04:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:04:657 ToPeron_2>> 4120fa *** 16:07:05:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:05:407 ToPeron_1>> 4020fa *** 16:07:06:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:06:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:06:156 ToPeron_2>> 4120fa *** 16:07:06:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:07:235 ToPeron_1>> 4020fa *** 16:07:07:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:08:045 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:08:046 ToPeron_2>> 4120fa *** 16:07:08:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:08:405 ToPeron_1>> 4020fa *** 16:07:09:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:09:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:09:157 ToPeron_2>> 4120fa *** 16:07:09:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:09:905 ToPeron_1>> 4020fa *** 16:07:10:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:10:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:10:656 ToPeron_2>> 4120fa *** 16:07:11:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:11:405 ToPeron_1>> 4020fa *** 16:07:12:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:12:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:12:156 ToPeron_2>> 4120fa *** 16:07:12:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:12:910 ToPeron_1>> 4020fa *** 16:07:13:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:13:645 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:13:646 ToPeron_2>> 4120fa *** 16:07:14:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:14:427 ToPeron_1>> 4020fa *** 16:07:15:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:15:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:15:157 ToPeron_2>> 4120fa *** 16:07:15:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:15:894 ToPeron_1>> 4020fa *** 16:07:16:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:16:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:16:657 ToPeron_2>> 4120fa *** 16:07:17:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:17:405 ToPeron_1>> 4020fa *** 16:07:18:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:18:154 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:18:156 ToPeron_2>> 4120fa *** 16:07:18:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:18:904 ToPeron_1>> 4020fa *** 16:07:19:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:19:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:19:657 ToPeron_2>> 4120fa *** 16:07:20:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:20:864 ToPeron_1>> 4020fa *** 16:07:21:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:21:382 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:21:383 ToPeron_2>> 4120fa *** 16:07:21:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:21:906 ToPeron_1>> 4020fa *** 16:07:22:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:22:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:22:657 ToPeron_2>> 4120fa *** 16:07:23:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:23:391 ToPeron_1>> 4020fa *** 16:07:24:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:24:145 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:24:146 ToPeron_2>> 4120fa *** 16:07:24:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:24:901 ToPeron_1>> 4020fa *** 16:07:25:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:25:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:25:655 ToPeron_2>> 4120fa *** 16:07:26:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:26:404 ToPeron_1>> 4020fa *** 16:07:27:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:27:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:27:156 ToPeron_2>> 4120fa *** 16:07:27:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:27:917 ToPeron_1>> 4020fa *** 16:07:28:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:28:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:28:655 ToPeron_2>> 4120fa *** 16:07:29:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:29:407 ToPeron_1>> 4020fa *** 16:07:30:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:30:154 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:30:155 ToPeron_2>> 4120fa *** 16:07:30:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:30:905 ToPeron_1>> 4020fa *** 16:07:31:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:31:646 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:31:647 ToPeron_2>> 4120fa *** 16:07:32:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:32:405 ToPeron_1>> 4020fa *** 16:07:33:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:33:145 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:33:146 ToPeron_2>> 4120fa *** 16:07:33:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:33:904 ToPeron_1>> 4020fa *** 16:07:34:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:34:646 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:34:647 ToPeron_2>> 4120fa *** 16:07:35:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:35:411 ToPeron_1>> 4020fa *** 16:07:36:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:36:157 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:36:158 ToPeron_2>> 4120fa *** 16:07:36:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:36:927 ToPeron_1>> 4020fa *** 16:07:37:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:37:667 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:37:668 ToPeron_2>> 4120fa *** 16:07:38:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:38:392 ToPeron_1>> 4020fa *** 16:07:39:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:39:161 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:39:162 ToPeron_2>> 4120fa *** 16:07:39:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:39:913 ToPeron_1>> 4020fa *** 16:07:40:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:40:667 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:40:668 ToPeron_2>> 4120fa *** 16:07:41:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:41:425 ToPeron_1>> 4020fa *** 16:07:42:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:42:171 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:42:172 ToPeron_2>> 4120fa *** 16:07:42:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:42:921 ToPeron_1>> 4020fa *** 16:07:43:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:43:676 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:43:677 ToPeron_2>> 4120fa *** 16:07:44:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:44:416 ToPeron_1>> 4020fa *** 16:07:45:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:45:173 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:45:174 ToPeron_2>> 4120fa *** 16:07:45:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:45:924 ToPeron_1>> 4020fa *** 16:07:46:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:46:670 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:46:671 ToPeron_2>> 4120fa *** 16:07:47:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:47:437 ToPeron_1>> 4020fa *** 16:07:48:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:48:175 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:48:177 ToPeron_2>> 4120fa *** 16:07:48:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:48:920 ToPeron_1>> 4020fa *** 16:07:49:549 FromPeron_1<< 40700373fa  

22.05.2019 16:07:49:663 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:49:665 ToPeron_2>> 4120fa *** 16:07:50:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:50:442 ToPeron_1>> 4020fa *** 16:07:51:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:51:171 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:51:173 ToPeron_2>> 4120fa *** 16:07:51:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:51:925 ToPeron_1>> 4020fa *** 16:07:52:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:52:697 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:52:698 ToPeron_2>> 4120fa *** 16:07:53:300 FromPeron_2<< 41700070fa  

22.05.2019 16:07:53:454 ToPeron_1>> 4020fa *** 16:07:54:050 FromPeron_1<< 40700373fa  

22.05.2019 16:07:54:193 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:54:194 ToPeron_2>> 4120fa *** 16:07:54:799 FromPeron_2<< 41700070fa  

22.05.2019 16:07:54:894 ToPeron_1>> 4020fa *** 16:07:55:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:55:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:55:657 ToPeron_2>> 4120fa *** 16:07:56:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:56:404 ToPeron_1>> 4020fa *** 16:07:57:049 FromPeron_1<< 40700373fa  

22.05.2019 16:07:57:154 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:57:155 ToPeron_2>> 4120fa *** 16:07:57:800 FromPeron_2<< 41700070fa  

22.05.2019 16:07:57:913 ToPeron_1>> 4020fa *** 16:07:58:550 FromPeron_1<< 40700373fa  

22.05.2019 16:07:58:652 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:07:58:654 ToPeron_2>> 4120fa *** 16:07:59:299 FromPeron_2<< 41700070fa  

22.05.2019 16:07:59:410 ToPeron_1>> 4020fa *** 16:08:00:050 FromPeron_1<< 40700373fa  

22.05.2019 16:08:00:131 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:00:132 ToPeron_2>> 4120fa *** 16:08:00:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:00:904 ToPeron_1>> 4020fa *** 16:08:01:550 FromPeron_1<< 40700373fa  

22.05.2019 16:08:01:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:01:656 ToPeron_2>> 4120fa *** 16:08:02:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:02:394 ToPeron_1>> 4020fa *** 16:08:03:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:03:156 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:03:158 ToPeron_2>> 4120fa *** 16:08:03:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:03:904 ToPeron_1>> 4020fa *** 16:08:04:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:04:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:04:656 ToPeron_2>> 4120fa *** 16:08:05:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:05:394 ToPeron_1>> 4020fa *** 16:08:06:050 FromPeron_1<< 40700373fa  

22.05.2019 16:08:06:144 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:06:145 ToPeron_2>> 4120fa *** 16:08:06:800 FromPeron_2<< 41700070fa  

22.05.2019 16:08:06:901 ToPeron_1>> 4020fa *** 16:08:07:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:07:656 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:07:657 ToPeron_2>> 4120fa *** 16:08:08:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:08:404 ToPeron_1>> 4020fa *** 16:08:09:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:09:144 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:09:145 ToPeron_2>> 4120fa *** 16:08:09:800 FromPeron_2<< 41700070fa  

22.05.2019 16:08:09:905 ToPeron_1>> 4020fa *** 16:08:10:550 FromPeron_1<< 40700373fa  

22.05.2019 16:08:10:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:10:657 ToPeron_2>> 4120fa *** 16:08:11:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:11:393 ToPeron_1>> 4020fa *** 16:08:12:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:12:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:12:156 ToPeron_2>> 4120fa *** 16:08:12:800 FromPeron_2<< 41700070fa  

22.05.2019 16:08:12:905 ToPeron_1>> 4020fa *** 16:08:13:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:13:643 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:13:644 ToPeron_2>> 4120fa *** 16:08:14:300 FromPeron_2<< 41700070fa  

22.05.2019 16:08:14:406 ToPeron_1>> 4020fa *** 16:08:15:050 FromPeron_1<< 40700373fa  

22.05.2019 16:08:15:181 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:15:183 ToPeron_2>> 4120fa *** 16:08:15:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:16:559 ToPeron_1>> 4020fa *** 16:08:16:560 ?   

22.05.2019 16:08:16:561 ToPeron_2>> 4120fa *** 16:08:17:299 ? 5fff606eff  

22.05.2019 16:08:17:300 ToPeron_1>> 4020fa *** 16:08:18:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:18:227 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:18:228 ToPeron_2>> 4120fa *** 16:08:18:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:18:906 ToPeron_1>> 4020fa *** 16:08:19:550 FromPeron_1<< 40700373fa  

22.05.2019 16:08:19:644 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:19:645 ToPeron_2>> 4120fa *** 16:08:20:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:20:394 ToPeron_1>> 4020fa *** 16:08:21:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:21:158 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:21:159 ToPeron_2>> 4120fa *** 16:08:21:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:21:905 ToPeron_1>> 4020fa *** 16:08:22:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:22:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:22:656 ToPeron_2>> 4120fa *** 16:08:23:300 FromPeron_2<< 41700070fa  

22.05.2019 16:08:23:405 ToPeron_1>> 4020fa *** 16:08:24:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:24:155 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:24:157 ToPeron_2>> 4120fa *** 16:08:24:800 FromPeron_2<< 41700070fa  

22.05.2019 16:08:24:905 ToPeron_1>> 4020fa *** 16:08:25:550 FromPeron_1<< 40700373fa  

22.05.2019 16:08:25:644 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:25:645 ToPeron_2>> 4120fa *** 16:08:26:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:26:405 ToPeron_1>> 4020fa *** 16:08:27:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:27:145 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:27:146 ToPeron_2>> 4120fa *** 16:08:27:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:27:903 ToPeron_1>> 4020fa *** 16:08:28:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:28:654 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:28:656 ToPeron_2>> 4120fa *** 16:08:29:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:29:404 ToPeron_1>> 4020fa *** 16:08:30:050 FromPeron_1<< 40700373fa  

22.05.2019 16:08:30:146 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:30:146 ToPeron_2>> 4120fa *** 16:08:30:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:30:906 ToPeron_1>> 4020fa *** 16:08:31:550 FromPeron_1<< 40700373fa  

22.05.2019 16:08:31:655 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:31:657 ToPeron_2>> 4120fa *** 16:08:32:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:32:404 ToPeron_1>> 4020fa *** 16:08:33:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:33:156 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:33:157 ToPeron_2>> 4120fa *** 16:08:33:800 FromPeron_2<< 41700070fa  

22.05.2019 16:08:33:905 ToPeron_1>> 4020fa *** 16:08:34:550 FromPeron_1<< 40700373fa  

22.05.2019 16:08:34:660 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:34:662 ToPeron_2>> 4120fa *** 16:08:35:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:35:404 ToPeron_1>> 4020fa *** 16:08:36:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:36:146 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:36:147 ToPeron_2>> 4120fa *** 16:08:36:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:36:906 ToPeron_1>> 4020fa *** 16:08:37:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:37:656 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:37:657 ToPeron_2>> 4120fa *** 16:08:38:300 FromPeron_2<< 41700070fa  

22.05.2019 16:08:38:391 ToPeron_1>> 4020fa *** 16:08:39:050 FromPeron_1<< 40700373fa  

22.05.2019 16:08:39:145 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:39:146 ToPeron_2>> 4120fa *** 16:08:39:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:39:893 ToPeron_1>> 4020fa *** 16:08:40:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:40:644 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:40:645 ToPeron_2>> 4120fa *** 16:08:41:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:41:403 ToPeron_1>> 4020fa *** 16:08:42:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:42:154 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:42:156 ToPeron_2>> 4120fa *** 16:08:42:799 FromPeron_2<< 41700070fa  

22.05.2019 16:08:42:909 ToPeron_1>> 4020fa *** 16:08:43:549 FromPeron_1<< 40700373fa  

22.05.2019 16:08:43:658 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:43:660 ToPeron_2>> 4120fa *** 16:08:44:299 FromPeron_2<< 41700070fa  

22.05.2019 16:08:44:394 ToPeron_1>> 4020fa *** 16:08:45:049 FromPeron_1<< 40700373fa  

22.05.2019 16:08:45:146 ToPeron_1>> 40263139322e3136382e3130322e313738fa *** 
22.05.2019 16:08:45:147 ToPeron_2>> 4120fa *** 16:08:45:800 FromPeron_2<< 41700070fa  

